#name,median,lower_error,upper_error,label,unit
#Fitted parameters,,,
b_ttv_transit_5,0.007415668509499443,0.04104943522346351,0.03185704701943926,TTV$_\mathrm{b;5}$,d
b_ttv_transit_6,0.005022448786911417,0.006176042964379146,0.004082334607051381,TTV$_\mathrm{b;6}$,d
b_ttv_transit_7,0.0007503906652163855,0.001076131114786976,0.0009558753617424256,TTV$_\mathrm{b;7}$,d
b_ttv_transit_8,-0.0010435435150084188,0.0008103159416886496,0.0008222775289196613,TTV$_\mathrm{b;8}$,d
b_ttv_transit_9,0.0013052358363445787,0.030564554884148422,0.02944471222233018,TTV$_\mathrm{b;9}$,d
b_ttv_transit_10,0.001639855281137137,0.022488143689850193,0.023675561624951852,TTV$_\mathrm{b;10}$,d
b_ttv_transit_11,-0.004830440705256886,0.030294902441617227,0.0323056457538002,TTV$_\mathrm{b;11}$,d
b_ttv_transit_12,0.006672043878203346,0.03900644975338331,0.027592975170600567,TTV$_\mathrm{b;12}$,d
b_ttv_transit_13,-0.009321386529879246,0.010060019750436338,0.007380483230087359,TTV$_\mathrm{b;13}$,d
b_ttv_transit_14,-0.003214446158074799,0.03151378997512304,0.03461521687760223,TTV$_\mathrm{b;14}$,d
b_ttv_transit_15,-0.004326675435184092,0.03110739490852891,0.033991492319783025,TTV$_\mathrm{b;15}$,d
