# Times (BJD) 	 Diff. Mag. 	 Diff. Mag. Err.
2458798.6279	0.00547242326583	0.000844712088569
2458798.62958	0.000747277052334	0.000840992695802
2458798.63126	0.000101750744351	0.000842698473941
2458798.63298	0.00114357231053	0.000843293169442
2458798.63489	0.00109979386309	0.000843307115599
2458798.63662	-0.000101741209582	0.000830705047567
2458798.6383	-0.000422011669942	0.000825823145651
2458798.64025	-0.0011815577886	0.00082407052468
2458798.64193	-0.000321582346396	0.000838322778513
2458798.64361	-0.00205256818038	0.00083547463216
2458798.64533	0.00225405539795	0.000815257779078
2458798.64723	-0.00345255272467	0.000835883481014
2458798.64896	0.00167667089691	0.000807543402756
2458798.65063	0.00162987643846	0.000809431230946
2458798.65259	-0.00134357863594	0.000837770270195
2458798.65427	0.0012317268665	0.000788992704367
2458798.65594	0.00255143207942	0.000813197685535
2458798.65781	0.00215869770725	0.000811699113296
2458798.65949	-0.000307732430652	0.000821846543526
2458798.66117	0.00238939602413	0.000822482263807
2458798.66312	-0.00141154305621	0.000819484774638
2458798.66479	-0.000737858338671	0.000817997525568
2458798.66647	0.00277581667341	0.000806930566518
2458798.66841	0.00037570716395	0.000807541574466
2458798.67009	0.0016936336946	0.000819570381443
2458798.67177	0.00121830643556	0.000799229080626
2458798.6737	0.000356741990644	0.000806616660658
2458798.67538	0.00115082126031	0.000805216798864
2458798.67706	0.000645637621537	0.00080644528385
2458798.67894	0.00238091371032	0.000808279679608
2458798.68061	0.00233510690993	0.000804708498056
2458798.6823	0.00491889888735	0.000806595633269
2458798.68423	0.0016412982791	0.000802877086606
2458798.68592	-0.000622827378664	0.000802213559602
2458798.6876	0.00146674028829	0.000804206680023
2458798.68956	0.00332832753482	0.000806119355833
2458798.69123	0.00130051137726	0.00080562229441
2458798.6929	0.00189594666711	0.000803799902723
2458798.69485	0.00140400375126	0.000804554257294
2458798.69653	0.00208644541833	0.000804389699627
2458798.69819	0.00216977587428	0.000788196790947
2458798.69991	0.00163191071195	0.00078846484493
2458798.7018	-0.000290808014335	0.000782853593977
2458798.70353	0.00214984596911	0.000801695876049
2458798.70522	0.00192345447411	0.000806437299665
2458798.7071	0.000468551203807	0.000772065314992
2458798.70878	0.00035455540296	0.000799052198376
2458798.71046	0.00175777434458	0.000784970064152
2458798.71234	-0.00173057623107	0.000788249169508
2458798.71401	0.00259154688608	0.000769527744613
2458798.71569	0.0030939372689	0.000785972726334
2458798.71765	0.00331313572794	0.000774887300078
2458798.71932	0.00222008434441	0.000776780213121
2458798.72099	0.00392025488099	0.000770637379235
2458798.72287	0.00237384783533	0.000760194213767
2458798.72454	0.00293004847657	0.000770590887532
2458798.72641	0.00450704965491	0.000773034142508
2458798.72809	0.00255965846713	0.000771991666533
2458798.72998	0.00498495470201	0.000774177468223
2458798.73164	0.00618287786602	0.000771426196336
2458798.7334	0.00694521044398	0.000749995683394
2458798.73513	0.00980803081126	0.000784213670035
2458798.73695	0.00982002638685	0.000790838903845
2458798.73868	0.0102493435944	0.000766358321816
2458798.74058	0.00773216884516	0.000785104042016
2458798.74231	0.00937157660149	0.00077425315349
2458798.74414	0.01089663843	0.000776348497089
2458798.74586	0.0107220980025	0.000779869642058
2458798.74755	0.0134413961738	0.000767749787373
2458798.74948	0.0123176111131	0.000784720246089
2458798.75116	0.0131020685134	0.000787371067722
2458798.75304	0.0123276224532	0.000783959136649
2458798.75472	0.0133809254133	0.000772078017451
2458798.75661	0.0144064225727	0.000759560485276
2458798.75829	0.0134630936144	0.000769165737647
2458798.76023	0.0115438701996	0.000754803377957
2458798.76191	0.0156724438014	0.000759078601144
2458798.76385	0.0132834111019	0.000763112318969
2458798.76553	0.0132255636543	0.000768287891445
2458798.76721	0.0144150268583	0.000754669095529
2458798.76915	0.0143291505099	0.000755391694991
2458798.77083	0.0139746282071	0.000757030693581
2458798.77278	0.0114601599052	0.000783438709394
2458798.77447	0.013392551786	0.000756456490314
2458798.77641	0.0139984680678	0.000767987221774
2458798.77809	0.0151466681977	0.000738248812465
2458798.78002	0.0146203357001	0.00075780917172
2458798.7817	0.0150339618705	0.000771968683285
2458798.78359	0.0158535856923	0.000762723819154
2458798.78527	0.0127111402248	0.000752076693151
2458798.78693	0.0147574388253	0.00076722594632
2458798.78881	0.0156639334702	0.000750505281099
2458798.79049	0.0142720333621	0.000748187409425
2458798.79243	0.0170669238743	0.000749181795739
2458798.79411	0.0132023140762	0.000716142657557
2458798.79606	0.0162708625804	0.000745881123944
2458798.79774	0.0147785064747	0.00074834871587
2458798.80072	0.0141655742988	0.00074069589442
2458798.80263	0.0163129399582	0.000738862081134
2458798.80435	0.0167146735961	0.000749026394431
2458798.80618	0.016068695797	0.000753389098615
2458798.80893	0.0160037710428	0.000754131951363
2458798.81083	0.0152469770084	0.00073419887866
2458798.81257	0.0155133761549	0.000748933545744
2458798.81447	0.0157973882226	0.000755921556963
2458798.81619	0.015072777851	0.000737865301785
2458798.8181	0.0182901865498	0.000724218317103
2458798.81983	0.0146770258901	0.000738108778894
2458798.8215	0.0144879439705	0.00073877659716
2458798.82331	0.0163389438288	0.000760539438208
2458798.82498	0.0169349202379	0.000740989215484
2458798.82665	0.0188671522528	0.000740740166652
