BJD,FLUX,ERRFLUX,AIRMASS,SKY
   9816.182215, 0.991246, 0.001510, 1.306, 1303.
   9816.183533, 0.990106, 0.001480, 1.304, 1285.
   9816.184852, 0.993435, 0.001471, 1.302, 1258.
   9816.185993, 0.989362, 0.001482, 1.300, 1254.
   9816.187135, 0.992298, 0.001471, 1.298, 1240.
   9816.188275, 0.992482, 0.001459, 1.296, 1239.
   9816.189609, 0.988018, 0.001449, 1.294, 1246.
   9816.190749, 0.987191, 0.001445, 1.292, 1237.
   9816.191890, 0.990166, 0.001445, 1.291, 1232.
   9816.193031, 0.986482, 0.001433, 1.289, 1218.
   9816.194172, 0.989883, 0.001431, 1.287, 1212.
   9816.195313, 0.987422, 0.001436, 1.285, 1219.
   9816.196454, 0.990684, 0.001442, 1.284, 1211.
   9816.197789, 0.991308, 0.001442, 1.282, 1205.
   9816.199111, 0.990210, 0.001437, 1.280, 1212.
   9816.200252, 0.990554, 0.001443, 1.278, 1235.
   9816.201570, 0.989357, 0.001442, 1.276, 1245.
   9816.202888, 0.992575, 0.001451, 1.274, 1237.
   9816.204029, 0.995940, 0.001597, 1.272, 1272.
   9816.205358, 0.990770, 0.001562, 1.270, 1242.
   9816.206689, 0.990482, 0.001518, 1.268, 1237.
   9816.209154, 0.994398, 0.001584, 1.265, 1260.
   9816.210474, 0.990380, 0.001585, 1.263, 1256.
   9816.211615, 0.986782, 0.001584, 1.261, 1240.
   9816.212941, 0.991180, 0.001603, 1.259, 1255.
   9816.214082, 0.988141, 0.001559, 1.257, 1264.
   9816.215412, 0.987280, 0.001539, 1.255, 1241.
   9816.216745, 0.988767, 0.001537, 1.253, 1242.
   9816.217886, 0.993089, 0.001590, 1.252, 1253.
   9816.219205, 0.982283, 0.001557, 1.250, 1242.
   9816.220524, 0.985999, 0.001582, 1.248, 1247.
   9816.221665, 0.987785, 0.001592, 1.246, 1266.
   9816.222985, 0.995222, 0.001622, 1.244, 1265.
   9816.224303, 0.986003, 0.001616, 1.242, 1298.
   9816.225444, 0.994835, 0.001625, 1.241, 1321.
   9816.226584, 0.988168, 0.001617, 1.239, 1323.
   9816.227726, 0.988534, 0.001633, 1.238, 1331.
   9816.229055, 0.989686, 0.001549, 1.236, 1283.
   9816.230196, 0.989258, 0.001543, 1.234, 1281.
   9816.231533, 0.984405, 0.001531, 1.232, 1301.
   9816.232857, 0.988538, 0.001535, 1.230, 1348.
   9816.234173, 0.987312, 0.001668, 1.229, 1388.
   9816.235314, 0.985600, 0.001602, 1.227, 1370.
   9816.236456, 0.988221, 0.001561, 1.225, 1392.
   9816.237597, 0.994319, 0.001593, 1.224, 1405.
   9816.238738, 0.987483, 0.001616, 1.222, 1358.
   9816.239879, 0.986651, 0.001627, 1.221, 1329.
   9816.241021, 0.992356, 0.001631, 1.219, 1334.
   9816.242161, 0.986667, 0.001610, 1.218, 1333.
   9816.243302, 0.990448, 0.001591, 1.216, 1309.
   9816.244443, 0.994995, 0.001592, 1.215, 1282.
   9816.245584, 0.992297, 0.001595, 1.213, 1267.
   9816.246725, 0.991351, 0.001601, 1.212, 1252.
   9816.247867, 0.988921, 0.001607, 1.210, 1235.
   9816.249008, 0.989252, 0.001610, 1.209, 1249.
   9816.250148, 0.991161, 0.001619, 1.207, 1250.
   9816.251289, 0.987555, 0.001640, 1.206, 1229.
   9816.252431, 0.987215, 0.001699, 1.204, 1225.
   9816.253572, 0.985151, 0.001719, 1.203, 1230.
   9816.254713, 0.982899, 0.001693, 1.201, 1207.
   9816.255854, 0.993044, 0.001701, 1.200, 1172.
   9816.256995, 0.993500, 0.001754, 1.198, 1179.
   9816.258136, 0.998947, 0.001799, 1.197, 1185.
   9816.259277, 0.983389, 0.001769, 1.195, 1182.
   9816.260418, 0.995493, 0.001758, 1.194, 1167.
   9816.261559, 0.990965, 0.001765, 1.192, 1172.
   9816.262701, 0.993982, 0.001771, 1.191, 1153.
   9816.263842, 0.991502, 0.001773, 1.190, 1144.
   9816.265166, 0.991897, 0.001782, 1.188, 1175.
   9816.266308, 0.991825, 0.001766, 1.187, 1201.
   9816.267633, 0.986564, 0.001759, 1.185, 1208.
   9816.268952, 0.989003, 0.001729, 1.183, 1182.
   9816.270093, 0.987998, 0.001720, 1.182, 1182.
   9816.271416, 0.992512, 0.001708, 1.180, 1181.
   9816.272737, 0.999516, 0.001731, 1.179, 1178.
   9816.273879, 0.988761, 0.001711, 1.177, 1182.
   9816.275208, 0.989763, 0.001689, 1.176, 1197.
   9816.276350, 0.993912, 0.001680, 1.175, 1200.
   9816.277668, 0.988301, 0.001660, 1.173, 1202.
   9816.278992, 0.993816, 0.001668, 1.171, 1200.
   9816.280134, 0.990332, 0.001667, 1.170, 1205.
   9816.281459, 0.990594, 0.001670, 1.169, 1225.
   9816.282780, 0.989627, 0.001668, 1.167, 1219.
   9816.284122, 0.990725, 0.001654, 1.166, 1204.
   9816.285263, 0.993042, 0.001662, 1.164, 1213.
   9816.286405, 0.983289, 0.001651, 1.163, 1226.
   9816.287545, 0.993857, 0.001666, 1.162, 1233.
