BJD,FLUX,ERRFLUX,AIRMASS,SKY
   9446.310573, 0.992869, 0.001504, 1.149, 1769.
   9446.313174, 0.993035, 0.001495, 1.146, 1755.
   9446.315775, 0.993396, 0.001488, 1.143, 1716.
   9446.318378, 0.993413, 0.001486, 1.141, 1711.
   9446.320978, 0.991381, 0.001496, 1.138, 1761.
   9446.323580, 0.993168, 0.001527, 1.136, 1748.
   9446.326181, 0.993961, 0.001493, 1.133, 1752.
   9446.328781, 0.993272, 0.001480, 1.131, 1708.
   9446.331383, 0.992560, 0.001477, 1.129, 1686.
   9446.333985, 0.991421, 0.001589, 1.126, 1707.
   9446.336586, 0.994869, 0.001529, 1.124, 1797.
   9446.339187, 0.992714, 0.001507, 1.122, 1785.
   9446.341788, 0.994489, 0.001478, 1.119, 1639.
   9446.344389, 0.993317, 0.001461, 1.117, 1577.
   9446.346989, 0.992609, 0.001464, 1.115, 1572.
   9446.349590, 0.993991, 0.001459, 1.113, 1550.
   9446.352191, 0.996562, 0.001460, 1.111, 1540.
   9446.354798, 0.994729, 0.001456, 1.109, 1511.
   9446.357398, 0.995847, 0.001456, 1.107, 1490.
   9446.360000, 0.991145, 0.001451, 1.105, 1474.
   9446.362601, 0.992639, 0.001453, 1.103, 1472.
   9446.365203, 0.996997, 0.001459, 1.101, 1471.
   9446.367804, 0.993632, 0.001456, 1.100, 1463.
   9446.370404, 0.993394, 0.001460, 1.098, 1469.
   9446.373006, 0.993199, 0.001460, 1.096, 1471.
   9446.375614, 0.992525, 0.001459, 1.095, 1480.
   9446.378215, 0.996796, 0.001462, 1.093, 1516.
   9446.380816, 0.989849, 0.001450, 1.091, 1526.
   9446.383417, 0.994417, 0.001465, 1.090, 1578.
   9446.386019, 0.995480, 0.001468, 1.088, 1623.
   9446.388619, 0.998690, 0.001468, 1.087, 1698.
   9446.391220, 0.993066, 0.001464, 1.086, 1795.
   9446.393820, 0.992103, 0.001468, 1.084, 1919.
   9446.396422, 0.999559, 0.001468, 1.083, 2099.
   9446.399023, 0.996832, 0.001470, 1.082, 2320.
   9446.401624, 0.996551, 0.001465, 1.080, 2616.
   9446.404225, 0.997795, 0.001458, 1.079, 2994.
   9446.406826, 1.000184, 0.001463, 1.078, 3497.
   9446.409429, 0.998596, 0.001455, 1.077, 4110.
   9446.412029, 0.999965, 0.001457, 1.076, 4895.
   9446.414630, 0.998645, 0.001455, 1.075, 5958.
   9446.417232, 0.999925, 0.001451, 1.074, 7324.
   9446.419832, 1.002500, 0.001451, 1.073, 9043.
   9446.422434, 1.002506, 0.001454, 1.072,11253.
   9446.425036, 0.996775, 0.001446, 1.072,14086.
   9446.427639, 0.999077, 0.001450, 1.071,17753.
   9446.430240, 1.000742, 0.001457, 1.070,22174.
   9446.432841, 0.995065, 0.001460, 1.069,27671.
