BJD,FLUX,ERRFLUX,AIRMASS,SKY
     93.789874, 0.985496, 0.001246, 1.092, 5398.
     93.791011, 0.990067, 0.001240, 1.092, 5265.
     93.792148, 0.983236, 0.001242, 1.093, 5174.
     93.793285, 0.992240, 0.001260, 1.094, 5114.
     93.794422, 0.988348, 0.001228, 1.094, 5013.
     93.795560, 0.988994, 0.001231, 1.095, 4956.
     93.796698, 0.988863, 0.001230, 1.096, 4910.
     93.797834, 0.988892, 0.001215, 1.097, 4759.
     93.798972, 0.986743, 0.001223, 1.097, 4759.
     93.800110, 0.988152, 0.001239, 1.098, 4761.
     93.801247, 0.989106, 0.001218, 1.099, 4734.
     93.802385, 0.981657, 0.001210, 1.100, 4677.
     93.803523, 0.997062, 0.001206, 1.100, 4498.
     93.804660, 0.993096, 0.001200, 1.101, 4483.
     93.805799, 0.988977, 0.001201, 1.102, 4495.
     93.806936, 0.989180, 0.001213, 1.103, 4460.
     93.808073, 0.990789, 0.001227, 1.103, 4397.
     93.809211, 0.986919, 0.001210, 1.104, 4251.
     93.810349, 0.984785, 0.001201, 1.105, 4264.
     93.811486, 0.994956, 0.001214, 1.106, 4349.
     93.812624, 0.992040, 0.001206, 1.107, 4375.
     93.813760, 0.993424, 0.001197, 1.108, 4321.
     93.814897, 0.999579, 0.001189, 1.108, 4374.
     93.816034, 0.988446, 0.001177, 1.109, 4203.
     93.817171, 0.989003, 0.001177, 1.110, 4102.
     93.818309, 0.992321, 0.001174, 1.111, 4133.
     93.819446, 0.992255, 0.001176, 1.112, 4205.
     93.820584, 0.988845, 0.001180, 1.113, 4314.
     93.821721, 0.994708, 0.001197, 1.114, 4383.
     93.822859, 0.989386, 0.001201, 1.115, 4408.
     93.823996, 0.990029, 0.001194, 1.116, 4385.
     93.825133, 0.986700, 0.001187, 1.116, 4333.
     93.826271, 0.985259, 0.001188, 1.117, 4362.
     93.827408, 0.986800, 0.001203, 1.118, 4377.
     93.828545, 0.992176, 0.001210, 1.119, 4373.
     93.829682, 0.989255, 0.001205, 1.120, 4360.
     93.830819, 0.991655, 0.001197, 1.121, 4273.
     93.831957, 0.992679, 0.001191, 1.122, 4169.
     93.833095, 0.994193, 0.001193, 1.123, 4095.
     93.834232, 0.994803, 0.001196, 1.124, 4114.
     93.835369, 0.991520, 0.001128, 1.125, 4214.
     93.836507, 0.992729, 0.001133, 1.126, 4240.
     93.837644, 0.995833, 0.001141, 1.127, 4242.
     93.838782, 0.992361, 0.001138, 1.128, 4175.
     93.839919, 0.988195, 0.001143, 1.129, 4197.
     93.841056, 0.987616, 0.001145, 1.130, 4251.
     93.842193, 0.995188, 0.001141, 1.131, 4188.
     93.843330, 0.986855, 0.001140, 1.132, 4212.
     93.844468, 0.985672, 0.001136, 1.133, 4233.
     93.846742, 0.987523, 0.001134, 1.136, 4216.
     93.847880, 0.991980, 0.001154, 1.137, 4278.
     93.849017, 0.992967, 0.001158, 1.138, 4330.
     93.850154, 0.990651, 0.001165, 1.139, 4331.
     93.851292, 0.986075, 0.001169, 1.140, 4338.
     93.852430, 0.991887, 0.001176, 1.141, 4342.
     93.853568, 0.990551, 0.001177, 1.142, 4334.
     93.854705, 0.989447, 0.001189, 1.143, 4318.
     93.855843, 0.994663, 0.001197, 1.144, 4225.
     93.856980, 0.992892, 0.001216, 1.146, 4260.
     93.858117, 0.996576, 0.001258, 1.147, 4360.
     93.859255, 0.997828, 0.001291, 1.148, 4446.
     93.860392, 0.994836, 0.001302, 1.149, 4437.
     93.861529, 0.993831, 0.001308, 1.150, 4472.
     93.862667, 0.996439, 0.001331, 1.152, 4464.
     93.863805, 0.993981, 0.001332, 1.153, 4446.
     93.864942, 0.992216, 0.001320, 1.154, 4409.
     93.866080, 0.988198, 0.001302, 1.155, 4379.
     93.867217, 0.998356, 0.001322, 1.156, 4400.
     93.868354, 0.991853, 0.001321, 1.158, 4401.
     93.869491, 0.988720, 0.001329, 1.159, 4397.
     93.870629, 0.994112, 0.001331, 1.160, 4274.
     93.871767, 0.988856, 0.001321, 1.161, 4230.
     93.872903, 1.000605, 0.001318, 1.163, 4253.
     93.874040, 0.989274, 0.001308, 1.164, 4286.
     93.875177, 0.994060, 0.001318, 1.165, 4291.
     93.876314, 0.993071, 0.001317, 1.166, 4242.
     93.877451, 0.992176, 0.001304, 1.168, 4254.
     93.878589, 0.994593, 0.001314, 1.169, 4351.
     93.879726, 0.998202, 0.001300, 1.170, 4301.
     93.880864, 0.993938, 0.001289, 1.172, 4251.
     93.882001, 0.991743, 0.001266, 1.173, 4186.
     93.883138, 0.990982, 0.001254, 1.174, 4119.
     93.884276, 0.995179, 0.001276, 1.176, 4217.
     93.885414, 0.995248, 0.001275, 1.177, 4260.
     93.886551, 0.997772, 0.001284, 1.178, 4364.
     93.887688, 0.998056, 0.001304, 1.180, 4468.
